state,year,receipts_rm_million,receipts_rm_million_growth_pct,visitors_000,visitors_000_growth_pct,trips_000,trips_000_growth_pct,receipts_per_capita_rm,receipts_per_capita_rm_growth_pct,receipts_per_trip_rm,receipts_per_trip_rm_growth_pct,avg_length_of_stay,avg_length_of_stay_growth_pct
Johor,2017,6036.43027593002,,13140.6397344478,,18769.8524347944,,459.371111142,,321.602436508241,,2.18833109612482,
Johor,2018,6726.41142057286,11.430284341958,13487.2379119749,2.63760505219928,17645.8320047244,-5.98843509278932,498.724161646225,8.5667229718458,381.189814046284,18.5282730395347,2.54048221348253,16.0922228807749
Johor,2019,7409.67789125131,10.1579642985956,14274.3642667527,5.83608267248652,19135.5102140974,8.44209674541931,519.089869978284,4.08356159541867,387.221339193376,1.58228917060192,2.54156533635858,0.042634538840769
Johor,2020,2431.61988775028,-67.183190370241,7242.508,-49.2621326970829,7915.18,-58.6361695536669,335.742796245483,-35.3208730003672,307.209676564561,-20.6630302956671,1.85128755704271,-27.1595527937465
Johor,2021,1251.84930290302,-48.5178868124317,3657.55,-49.4988476367579,3797.419,-52.023592640976,342.264440104173,1.94245235686952,329.657934218747,7.30714536899311,2.06019814260457,11.2846102577159
Johor,2022,4888.35148006201,290.490410365369,12376.202,238.374102883077,12964.945,241.414655585807,394.97993649926,15.4019787679498,377.043749901138,14.3742378883403,2.33780774616398,13.4748982546138
Johor,2023,6699.11884569231,37.0424952668774,15804.89,27.7038787828447,16493.661,27.2173618939378,423.863680524971,7.3127116991587,406.163243302521,7.72310730757855,2.17607397828371,-6.91818085322254
Kedah,2017,4471.36480286521,,13304.534929663,,17169.5703946949,,336.078248995846,,260.423802114862,,2.12890178576647,
Kedah,2018,4724.46044266616,5.66036659855551,14480.018395565,8.83520898788588,19648.2034344577,14.436197195293,326.274477946325,-2.91710965491319,240.45254103898,-7.66875412834711,2.28556649821346,7.35894504361017
Kedah,2019,5208.13192969844,10.2376026405955,14831.1555133218,2.42497701428575,19500.3707313011,-0.752398068605808,351.16157503846,7.62765670449685,267.078611040896,11.0733161258627,2.30549889208375,0.872098619133177
Kedah,2020,2272.69214593496,-56.3626233626045,10108.084,-31.8456071010744,10362.011,-46.862492294224,224.839064053579,-35.972760109373,219.32925432476,-17.8783903847787,1.97006129028332,-14.5494583819668
Kedah,2021,842.205404074748,-62.942389466116,4023.002,-60.2001526698828,4240.773,-59.0738419405268,209.347498230115,-6.89006863138888,198.597143510098,-9.45250594978272,1.96227888195383,-0.395033817875334
Kedah,2022,3469.82268561478,311.992450870907,11186.197,178.055964177994,11894.479,180.479030591828,310.187875791458,48.1688954555832,291.717080303793,46.8888601053621,2.1120801053992,7.63404350029053
Kedah,2023,4206.61948328264,21.2344221715559,13444.055,20.1843218030221,13687.381,15.0733966573904,312.898116177198,0.873741560280106,307.335602280863,5.3539963998011,2.02721858973257,-4.01791179461873
Kelantan,2017,3633.66423068346,,9623.66382258783,,12901.0315109138,,377.575972900762,,281.656875855975,,2.94164969387579,
Kelantan,2018,4001.39520678238,10.1201143736319,9846.12343577341,2.31158961167619,14237.523885532,10.3595776313512,406.392955855532,7.63210188757004,281.045723888025,-0.216984572484746,2.8804999196926,-2.07875785857499
Kelantan,2019,4800.04103126423,19.9591838148889,10985.6520100096,11.5733728270763,15911.2787640876,11.7559407942869,436.937291194975,7.51596082051706,301.675377726278,7.34031941595108,3.00996244733286,4.49444649365154
Kelantan,2020,1555.12261713697,-67.6018890878651,6058.183,-44.8536782843652,6568.194,-58.7198860796489,256.697860915884,-41.2506402889431,236.765634074902,-21.5164207767301,1.85860052110295,-38.251704012126
Kelantan,2021,477.222127559975,-69.312893896524,1920.93,-68.291977974254,1971.69,-69.9812459863396,248.432856772488,-3.21974016998308,242.037098915131,2.22644847121747,3.13854552971283,68.8660631522002
Kelantan,2022,2586.22406280686,441.932972812925,6627.155,244.997214890704,8783.75,345.493459925242,390.246502881984,57.0832892041198,294.432794968762,21.6477954365183,3.15837090332652,0.631673921120512
Kelantan,2023,3228.385093431,24.830061704986,7549.37,13.9156998742296,9299.793,5.87497367297567,427.636358190286,9.58108657788772,347.145908885391,17.9032753203398,3.07348440786154,-2.68766709367713
Melaka,2017,4969.22134271625,,12624.984812844,,20063.7799127748,,393.602163993166,,247.671244616888,,2.69280620211597,
Melaka,2018,5563.53615540711,11.9599182991112,13122.6041634891,3.94154415250343,21654.2932612511,7.92728665979636,423.965859679475,7.71431116594068,256.925316762135,3.7364338195828,2.23279522045633,-17.0829590817999
Melaka,2019,6369.89280746409,14.493599565688,13978.9741697121,6.52591509698714,24042.6304047684,11.0293931771538,455.67669917193,7.47957383088085,264.941593337505,3.12008044843304,2.28966405974747,2.54697962312536
Melaka,2020,2372.6250612483,-62.7525119658511,7274.547,-47.960795179366,9964.031,-58.5568183170847,326.154338029337,-28.42417911163,238.118996342775,-10.1239660624223,1.80179499171813,-21.3074518924469
Melaka,2021,1004.11271080667,-57.6792504131108,3878.14,-46.6889141000807,4364.264,-56.1998151149871,258.916055327211,-20.6154801154532,230.076070285086,-3.37769190246003,1.8643007203704,3.46908105192738
Melaka,2022,4842.59364655733,382.275903336285,11757.166,203.165073978763,16667.987,281.91976928985,411.884432571364,59.0802980722211,290.532602800646,26.2767581351023,2.13841463522688,14.7033100326228
Melaka,2023,6438.41105660878,32.9537749091531,15558.661,32.3334296717423,20093.758,20.552997791515,413.815241337849,0.468774397330596,320.418463117192,10.2865771443395,2.23400775634919,4.47027997038412
Negeri Sembilan,2017,4382.32642760953,,10822.3205520833,,13832.2780238514,,404.934081052138,,316.818850810616,,2.30619965764494,
Negeri Sembilan,2018,4830.04888620922,10.2165474433614,12802.1189060886,18.2936584115889,17540.6749888571,26.809734149438,377.285113631625,-6.82801688330922,275.362771915993,-13.085104875721,2.45889086147452,6.62090133104547
Negeri Sembilan,2019,5071.03036849894,4.98921414600528,13303.0418435376,3.91281272360908,19414.2056502318,10.6810636567001,381.193296100347,1.03586977792554,261.20205275761,-5.14256849604315,2.45685046526145,-0.082980348784023
Negeri Sembilan,2020,2232.9800948256,-55.9659490762116,7917.736,-40.4817627943769,9567.142,-50.7209196587151,282.022549732096,-26.0158684275877,233.400956610198,-10.6435213099994,1.89511215363317,-22.8641636750368
Negeri Sembilan,2021,1213.38512045771,-45.6607283123821,5485.17,-30.7229996049376,6554.829,-31.4860279067667,221.211944289368,-21.5623202827201,185.113161679384,-20.6887733589967,1.72219303562174,-9.12447939716508
Negeri Sembilan,2022,3651.3406055165,200.921821436145,11490.144,109.476533999858,14278.615,117.833523956155,317.780230214391,43.6541915651271,255.72092289879,38.1430259084973,2.4775740593211,43.8615769588602
Negeri Sembilan,2023,4777.28125500884,30.8363631645662,14959.47,30.1939296844322,17800.523,24.6656135766669,319.348296096642,0.493443497474066,268.378701850998,4.94984094720234,2.41840105295885,-2.38834460425634
Pahang,2017,6435.93506584126,,16491.3391442,,22316.2584946603,,390.261519065586,,288.39668922912,,1.69549635117399,
Pahang,2018,7404.83288869279,15.0544996638322,18111.3565763172,9.82344379647884,21896.0910749046,-1.8827861303732,408.850262402514,4.76315045906537,338.180584989417,17.262297945711,2.45576362089147,44.8403955096133
Pahang,2019,7600.74634258733,2.64575118492816,18497.5783549097,2.13248398575252,22744.9498261507,3.87675931901372,410.904941001096,0.502550392534462,334.172921931376,-1.18506597833417,2.48526051771162,1.20112931754572
Pahang,2020,2748.04988629641,-63.8449993930338,9905.002,-46.4524392871623,10380.441,-54.3615568319908,277.440619022228,-32.4805833810872,264.733443048942,-20.779504958422,1.92726887226897,-22.4520383865607
Pahang,2021,914.378229522129,-66.7262870997422,3404.772,-65.6257313224167,3504.979,-66.2347775012642,268.557844555268,-3.20168492207997,260.879802567185,-1.45566817602435,1.92173287260011,-0.287245840397066
Pahang,2022,5316.78906097375,481.464965953138,13188.959,287.366878017089,14993.999,327.791407594739,403.124239067977,50.1070429484386,354.594465490744,35.9225444060295,2.10555957854831,9.56567421878369
Pahang,2023,6733.34364809185,26.6430465996081,16455.567,24.7677470223389,17632.756,17.5987540081869,409.183326718055,1.50303233169176,381.865639613674,7.69080647809541,2.12715370546925,1.02557662774985
Perak,2017,6742.10464475721,,20109.7100671475,,25039.1774144685,,335.266128762918,,269.262225877332,,2.33355262986488,
Perak,2018,6468.50302256644,-4.05810405810784,17553.1612058818,-12.7130070633999,23651.0536262942,-5.54380747097624,368.5092928104,9.91545557260565,273.497457017097,1.57290207564964,1.85003366389518,-20.7202940178682
Perak,2019,7824.05505390701,20.9561938304968,21070.7209104421,20.0394656170629,28471.2873970551,20.3806301694821,371.323557801462,0.763689015709557,274.805102586134,0.478119827255008,2.20883049475721,19.3940703817571
Perak,2020,3317.0693364196,-57.6042178440041,13173.306,-37.4805159444181,14045.532,-50.6677313037387,251.802344561008,-32.1878886295599,236.16544652204,-14.0607491274595,1.8485066338042,-16.3128796803675
Perak,2021,1159.53265234848,-65.0434605144533,4489.273,-65.9214399179674,4674.011,-66.7224352911659,258.289627819131,2.57633949732792,248.080856538094,5.04536552299659,2.29350409312326,24.0733493286557
Perak,2022,4541.33101270089,291.651843827168,14566.727,224.478529151602,17679.702,278.255464097111,311.760563145097,20.7019289847014,256.866943385182,3.54162226368275,2.42853989637977,5.88775069821743
Perak,2023,5641.02361320425,24.2152046928051,17107.518,17.4424288997796,18831.264,6.51346951436171,329.739452163911,5.76689008944546,299.556291771187,16.6192456777089,2.3457677558445,-3.40830886322514
Perlis,2017,474.456035483842,,1413.61053340025,,1755.79716854435,,335.63419645905,,270.222576949017,,2.0033363435193,
Perlis,2018,616.749928734989,29.9909544002403,2155.5079034032,52.4824449502662,2816.39830281391,60.4056751696926,286.127426283727,-14.7502163657997,218.985336029632,-18.9611251205897,2.32017692530192,15.8156458753212
Perlis,2019,578.805530778065,-6.15231493171819,2087.37244564133,-3.16099317725975,2695.00103783132,-4.31037275023565,277.289053990664,-3.08896368581556,214.770058583663,-1.92491311171568,2.55342085481156,10.0528510117515
Perlis,2020,224.066307262435,-61.2881537325271,1193.108,-42.8416331502629,1246.963,-53.7305187457947,187.800523726633,-32.2726515800526,179.689619709996,-16.3339522766864,2.4461569279846,-4.20079308997716
Perlis,2021,78.0132972300273,-65.182941521567,406.796,-65.9045115781639,426.818,-65.7713981890401,191.774986061877,2.1163212201843,182.778836014478,1.71919574957515,2.20914101234874,-9.68931767722435
Perlis,2022,455.618787502378,484.027087278411,1669.175,310.322372884689,1799.569,321.62443945663,272.960466998594,42.3337175529879,253.182171676873,38.518319296452,2.34666728507533,6.22532794230157
Perlis,2023,583.870113407444,28.1488229684551,1950.771,16.87037009301,2139.229,18.8745193988116,299.302231480499,9.65039544793889,272.934834656525,7.80175904520704,2.20641466269676,-5.97667267407566
Pulau Pinang,2017,4864.15657232085,,12642.6432832667,,15362.4142953922,,384.742056177355,,316.627092512392,,2.22815113499061,
Pulau Pinang,2018,6164.57451335465,26.7347056308537,14450.4911905341,14.2996038625894,19369.6396407306,26.0846066789145,426.599652016867,10.8793918334254,318.259638676589,0.515605329677582,2.50947129687182,12.6257217234232
Pulau Pinang,2019,6653.65601165969,7.93374298981246,15410.6252310139,6.6443003758152,21073.6211358388,8.79717706015066,431.757693923359,1.20910598077282,315.733872634929,-0.793618082444525,2.50454943741912,-0.196131330883742
Pulau Pinang,2020,2427.15888222993,-63.5214252438563,8929.515,-42.0561147510788,9231.124,-56.1958339267042,271.813069604556,-37.044996897541,262.932106884268,-16.7235036614882,2.03409916330196,-18.7838286235607
Pulau Pinang,2021,1158.8101313766,-52.2565193461108,5060.864,-43.3243126866353,5160.445,-44.0973276927057,228.974762288929,-15.7602088000955,224.556241056071,-14.5953517365943,2.14043579846788,5.22770163246631
Pulau Pinang,2022,3648.39930839687,214.840128646682,10002.735,97.6487611601498,11705.595,126.833054126146,364.740174401988,59.29274071775,311.679953765432,38.7981702488538,2.59063956089525,21.0332756885128
Pulau Pinang,2023,5814.73535455749,59.3777123346875,13127.587,31.2399758666005,15350.976,31.1422101994815,442.940149972534,21.4399128636595,378.78603644208,21.5304455310435,2.40032874269824,-7.34609403290531
Sabah,2017,6851.640905829,,17791.7126417,,22449.831482274,,385.10294336534,,305.19787693012,,3.12180953201819,
Sabah,2018,7507.57344811562,9.57336426853002,20359.8810907899,14.4346331396487,28298.9495638705,26.0541736636859,368.743482078183,-4.24807485089438,265.295128046046,-13.0743861279253,2.67746437260194,-14.2335768681246
Sabah,2019,8080.66670997202,7.63353520038148,22035.0674727792,8.22787900636166,31437.7299652782,11.0915085180936,366.718491783807,-0.549159617130979,257.037219891411,-3.11272514329841,2.78866164597109,4.15308134468617
Sabah,2020,2676.77169855219,-66.8743707094255,10336.897,-53.0888797469325,10861.33,-65.4512904971322,258.953117028465,-29.3864032411197,246.449716429957,-4.11905461237358,1.96210740287431,-29.6398182364985
Sabah,2021,1052.02211208469,-60.6981009006593,3815.016,-63.0932184000673,4006.255,-63.1145080758986,275.758243762199,6.48964064483022,262.594895253719,6.55110464626996,2.31287857012766,17.8772663891641
Sabah,2022,4825.8695952754,358.723209316622,12589.005,229.98564095144,17254.974,330.700841559012,383.340033249284,39.0130819007748,279.679911153468,6.50622544784867,3.0576352783597,32.2004240884524
Sabah,2023,6712.51460553787,39.0944051225405,16080.074,27.7310955075481,19900.312,15.3308721299725,417.443017086729,8.89627507682405,337.307003304163,20.6046590593607,2.67140939347793,-12.6315223929835
Sarawak,2017,7346.92779671872,,17670.3474462916,,24153.7165002789,,415.777212024236,,304.173802678933,,3.20898606660029,
Sarawak,2018,8144.80829247868,10.860056309745,19380.2301990598,9.67656554555778,23616.9148732453,-2.22243904795107,420.263753774906,1.07907350882146,344.871814807006,13.3798544679508,3.39494786786275,5.79503299182205
Sarawak,2019,8670.74332850991,6.45730405363751,19793.3756868456,2.13178834070735,24880.0073570829,5.34825353191457,438.062888599258,4.23522958248863,348.502442305006,1.0527469460013,3.42690401258299,0.941285285195193
Sarawak,2020,3384.67058146855,-60.9644703662308,9393.255,-52.5434410551676,11077.444,-55.4765244197307,360.329894319759,-17.7447111596366,305.546169447442,-12.3259603500767,2.55178605762645,-25.5366929375104
Sarawak,2021,1935.25867544385,-42.8228352253951,6510.9,-30.6853694486097,7137.26,-35.5694328041739,297.233665920817,-17.5106837910457,271.148686673015,-11.2577038149856,3.0323043039809,18.8306635236265
Sarawak,2022,5430.77227763946,180.622551731691,15464.621,137.518945153512,19290.587,170.280009415378,351.173965248774,18.1474393759712,281.524469817298,3.82660276602977,3.51641852644725,15.9652255821024
Sarawak,2023,6942.67318117489,27.8395194318955,17901.19,15.7557627826767,21076.631,9.25862961038979,387.833053622407,10.439010861088,329.401467491407,17.0063361473267,3.4815000820848,-0.993011613942596
Selangor,2017,11763.6962528954,,25491.16104986,,35473.0000600343,,461.481382895268,,331.623945902139,,2.00125741955576,
